项目名称,开发商,EPC,项目所在国家,规模,产品类型,中标时间,信息来源,备注
沙特ALGIHAZ储能项目,沙特国家电网/ALGIHAZ,阳光电源,沙特阿拉伯,7.8GWh,储能,2024-07-16,https://finance.sina.com.cn/roll/2025-12-18/doc-inhcfkvm3139703.shtml,全球最大储能项目2025年12月全容量并网金额约100亿元
英国Fidra Energy储能项目,Fidra Energy,阳光电源,英国,4.4GWh,储能,2024-11,https://solar.ofweek.com/2025-08/ART-260001-8420-30668085.html,欧洲最大储能合作协议
欧洲SUNOTEC储能项目,SUNOTEC,阳光电源,保加利亚,2.4GWh,储能,2025-07-28,https://solar.ofweek.com/2025-08/ART-260001-8420-30668085.html,首次进入保加利亚市场
智利储能项目,-,阳光电源,智利,1GWh,储能,2025,https://www.eet-china.com/mp/a406144.html,
日本储能项目,-,阳光电源,日本,500MWh,储能,2025,https://www.eet-china.com/mp/a406144.html,
西班牙葡萄牙Galp储能项目,Galp,阳光电源,西班牙/葡萄牙,74MW/148MWh,储能,2025-08,https://www.energytrend.cn/news/20250807-144279.html,PowerTitan 2.0方案
芬兰储能项目,-,阳光电源,芬兰,100MWh,储能,2025,https://www.eet-china.com/mp/a406144.html,
中国能建储能集采入围,中国能建,阳光电源,中国,25GWh集采入围,储能,2025-08-06,https://finance.sina.com.cn/stock/relnews/cn/2025-08-07/doc-infkcmrf4712907.shtml,入围31家企业最低0.37元/Wh
中电建2025-2026储能框采入围,中国电建,阳光电源,中国,16GWh框采入围,储能,2025-01-09,https://www.cnnes.cc/zhaobiao/xiangmu/20250109/9912.html,入围27家报价0.442-0.528元/Wh
中核汇能储能集采入围,中核汇能/新华发电,阳光电源,中国,12GWh集采入围,储能,2025-01-13,https://finance.sina.com.cn/roll/2025-01-13/doc-ineevenv2705422.shtml,入围7家
中国华电6GWh储能框采,中国华电,阳光电源,中国,6GWh框采入围,储能,2025-03-18,https://finance.sina.com.cn/stock/relnews/cn/2025-03-18/doc-ineqautk5579904.shtml,入围中标候选人报价0.473元/Wh
中国华能4GWh储能框采,中国华能,阳光电源,中国,4GWh框采中标,储能,2025-01-24,https://www.cnnes.cc/zhaobiao/xiangmu/20250124/9988.html,中标与比亚迪远景并列
山西独立储能项目,-,阳光电源,中国山西,100MW/200MWh,储能,2025-07-30,https://news.bjx.com.cn/html/20250731/1453706.shtml,报价0.372元/Wh
中电建四川光伏储能项目,中国电建水电开发公司,阳光电源,中国四川,16MW/32MWh,储能,2025,https://news.smm.cn/news/103584257,构网型储能设备
华电6GWh储能框采入围,中国华电,阳光电源,中国,6GWh框采入围,储能,2025-03-20,https://news.qq.com/rain/a/20250320A01RU800,入围6家企业
